id,title,author,alt_titles,year,publisher
1,Dune,Frank Herbert,,1965,Chilton Books
2,Dune,Frank Herbert,,2019,Ace (movie tie-in edition)
3,Dune Messiah,Frank Herbert,,1969,G.P. Putnam's Sons
4,Children of Dune,Frank Herbert,,1976,G.P. Putnam's Sons
5,1984,George Orwell,Nineteen Eighty-Four,1949,Secker & Warburg
6,1984,George Orwell,Nineteen Eighty-Four,1961,Signet Classics
7,The Hobbit,J.R.R. Tolkien,"The Hobbit, or There and Back Again",1937,Allen & Unwin
8,The Hobbit,J.R.R. Tolkien,"The Hobbit, or There and Back Again",2012,Houghton Mifflin
9,The Lord of the Rings,J.R.R. Tolkien,LOTR,1968,Allen & Unwin (single-volume omnibus)
10,The Fellowship of the Ring,J.R.R. Tolkien,,1954,Allen & Unwin
11,The Two Towers,J.R.R. Tolkien,,1954,Allen & Unwin
12,The Return of the King,J.R.R. Tolkien,,1955,Allen & Unwin
13,The Chronicles of Narnia,C.S. Lewis,Narnia Omnibus,2001,"HarperCollins (single-volume omnibus, 7 books)"
14,"The Lion, the Witch and the Wardrobe",C.S. Lewis,,1950,Geoffrey Bles
15,Prince Caspian,C.S. Lewis,,1951,Geoffrey Bles
16,Harry Potter and the Philosopher's Stone,J.K. Rowling,,1997,Bloomsbury
17,Harry Potter and the Sorcerer's Stone,J.K. Rowling,,1998,Scholastic
18,Harry Potter and the Chamber of Secrets,J.K. Rowling,,1998,Bloomsbury
19,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,1999,Bloomsbury
20,Harry Potter and the Goblet of Fire,J.K. Rowling,,2000,Bloomsbury
21,Harry Potter and the Order of the Phoenix,J.K. Rowling,,2003,Bloomsbury
22,Harry Potter and the Half-Blood Prince,J.K. Rowling,,2005,Bloomsbury
23,Harry Potter and the Deathly Hallows,J.K. Rowling,,2007,Bloomsbury
24,The Cuckoo's Calling,Robert Galbraith,,2013,Mulholland Books
25,The Golden Compass,Philip Pullman,Northern Lights,1995,Knopf (US) / Scholastic (UK: Northern Lights)
26,Foundation,Isaac Asimov,,1951,Gnome Press
27,Foundation and Empire,Isaac Asimov,,1952,Gnome Press
28,Second Foundation,Isaac Asimov,,1953,Gnome Press
29,Foundation,Peter Ackroyd,"The History of England, Volume I",2011,Macmillan
30,The Stranger,Albert Camus,L'Étranger,1942,Gallimard
31,The Stranger,Harlan Coben,,2015,Dutton
32,It,Stephen King,,1986,Viking
33,It Ends with Us,Colleen Hoover,,2016,Atria Books
34,The Shining,"King, Stephen",,1977,Doubleday
35,One Hundred Years of Solitude,"García Márquez, Gabriel",Cien años de soledad,1967,Harper & Row
36,Love in the Time of Cholera,Gabriel Garcia Marquez,El amor en los tiempos del cólera,1985,Knopf
37,Crime and Punishment,Fyodor Dostoevsky,,1866,The Russian Messenger
38,The Brothers Karamazov,"Dostoyevsky, Fyodor M.",,1880,The Russian Messenger
39,War and Peace,Leo Tolstoy,,1869,The Russian Messenger
40,Anna Karenina,"Tolstoy, Leo",,1877,The Russian Messenger
41,To Kill a Mockingbird,Harper Lee,,1960,J.B. Lippincott & Co.
42,The Great Gatsby,F. Scott Fitzgerald,,1925,Charles Scribner's Sons
